english level (4),exclamation (exclam.) (20),preposition (prep.) (59),indefinite article (2),definite article (1),determiner (det.) (42),adjectives (adj.) (650),noun (n.) (1798),pronoun (pron.) (76),adverbs (adv.) (263),infinitive marker (1),verb (v.) (814),modal verb(v.) (14),auxiliary verb(v.) (3),conjunction (conj.) (30),number (37)
,ah,according to,,,double,able,ability,anybody,abroad,,accept,may,have,after,billion
,all right,against,,,either,active,accident,anywhere,actually,,achieve,might,,although,zero
,attention,along,,,least,adult,advantage,double,after,,act,shall,,as,
,dear,among,,,less,alive,adventure,either,all,,advertise,used to,,before,
,wow,except,,,neither,all right,advertisement,hers,all right,,affect,,,since,
,,including,,,several,alone,advertising,herself,almost,,allow,,,while,
,,inside,,,such,ancient,airline,himself,alone,,appear,,,,
,,onto,,,whose,asleep,alternative,his,along,,apply,,,,
,,outside,,,,assistant,amount,itself,already,,argue,,,,
,,per,,,,attractive,ankle,least,any,,arrange,,,,
,,round,,,,available,app,less,any more,,attack,,,,
,,since,,,,average,appearance,mine,anyway,,attend,,,,
,,towards,,,,awful,architect,myself,anywhere,,avoid,,,,
,,,,,,back,architecture,neither,as,,beat,,,,
,,,,,,based,argument,none,badly,,behave,,,,
,,,,,,blank,army,ourselves,before,,belong,,,,
,,,,,,bottom,arrangement,several,best,,blow,,,,
,,,,,,bright,assistant,somewhere,better,,boil,,,,
,,,,,,brilliant,athlete,such,between,,book,,,,
,,,,,,broken,attack,themselves,carefully,,borrow,,,,
,,,,,,careful,attention,whose,certainly,,brush,,,,
,,,,,,certain,audience,yours,clearly,,burn,,,,
,,,,,,classical,author,,completely,,camp,,,,
,,,,,,clear,average,,correctly,,care,,,,
,,,,,,clever,award,,definitely,,catch,,,,
,,,,,,close,background,,differently,,cause,,,,
,,,,,,closed,bar,,easily,,celebrate,,,,
,,,,,,comfortable,baseball,,either,,chat,,,,
,,,,,,connected,basketball,,especially,,circle,,,,
,,,,,,crazy,bean,,everywhere,,collect,,,,
,,,,,,creative,bear,,exactly,,communicate,,,,
,,,,,,crowded,beef,,extremely,,compete,,,,
